"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"UNICEF","United Nations Children's Fund",NA,"FOOD AGRICULTURE AND DISASTER MANAGEMENT","FOOD AGRICULTURE AND DISASTER MANAGEMENT"
"UNICEF","United Nations Children's Fund",NA,"WATER AND ENVIRONMENTAL SANITATION ABYEI OFFICE","WATER AND ENVIRONMENTAL SANITATION ABYEI OFFICE"
"UNICEF","United Nations Children's Fund",NA,"IMPACT RELIEF AND DEVELOPMENT","IMPACT RELIEF AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"BRAC","BRAC"
"UNICEF","United Nations Children's Fund",NA,"WOMEN INITIATIVE FOR DEVELOPMENT ORGANIZATION","WOMEN INITIATIVE FOR DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"AFRICAN HUMANITARIAN CORPS","AFRICAN HUMANITARIAN CORPS"
"UNICEF","United Nations Children's Fund",NA,"INTEGRATED HUMANITARIAN AID","INTEGRATED HUMANITARIAN AID"
"UNICEF","United Nations Children's Fund",NA,"OXFAM INTERNATIONAL SOUTH SUDAN","OXFAM INTERNATIONAL SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"HELP A CHILD SOUTH SUDAN","HELP A CHILD SOUTH SUDAN"
"UNICEF","United Nations Children's Fund",NA,"SCIENCE TEACHERS INITIATIVE","SCIENCE TEACHERS INITIATIVE"
"UNICEF","United Nations Children's Fund",NA,"AFRICA DEVELOPMENT AID","AFRICA DEVELOPMENT AID"
"UNICEF","United Nations Children's Fund",NA,"ACTION FOR CONFLICT RESOLUTION","ACTION FOR CONFLICT RESOLUTION"
"UNICEF","United Nations Children's Fund",NA,"RURAL DEVELOPMENT ACTION AID","RURAL DEVELOPMENT ACTION AID"
"UNICEF","United Nations Children's Fund",NA,"ROYAL AID FOR DEVELOPMENT","ROYAL AID FOR DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"COMMUNITY IN NEED AID CINA","COMMUNITY IN NEED AID CINA"
"UNICEF","United Nations Children's Fund",NA,"ACROSS AFRICA DEVELOPMENT ORGANIZATION","ACROSS AFRICA DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"HOLD THE CHILD ORGANIZATION","HOLD THE CHILD ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"CHRISTIAN AGENDA FOR DEVELOPMENT","CHRISTIAN AGENDA FOR DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"CONFIDENT WOMEN NETWORK","CONFIDENT WOMEN NETWORK"
"UNICEF","United Nations Children's Fund",NA,"TABASHEER VOLUNTARY DEVELOPMENT ORGANIZATION","TABASHEER VOLUNTARY DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF HEALTH SENNAR STATE","STATE MINISTRY OF HEALTH SENNAR STATE"
"UNICEF","United Nations Children's Fund",NA,"HEALTH MINISTRY CENTRAL DARFUR HEALTH","HEALTH MINISTRY CENTRAL DARFUR HEALTH"
"UNICEF","United Nations Children's Fund",NA,"RURAL COMMUNITY DEVELOPMENT ORGANIZATION RCDO","RURAL COMMUNITY DEVELOPMENT ORGANIZATION RCDO"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF HEALTH SOUTH KORDOFAN","DG STATE MINISTRY OF HEALTH SOUTH KORDOFAN"
"UNICEF","United Nations Children's Fund",NA,"WORLD VISION INTERNATIONAL","WORLD VISION INTERNATIONAL"
"UNICEF","United Nations Children's Fund",NA,"SUDANESE RED CRESCENT SOCIETY","SUDANESE RED CRESCENT SOCIETY"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF HEALTH GEDARIF","DG STATE MINISTRY OF HEALTH GEDARIF"
"UNICEF","United Nations Children's Fund",NA,"ISLAMIC RELIEF WORLDWIDE SUDAN","ISLAMIC RELIEF WORLDWIDE SUDAN"
"UNICEF","United Nations Children's Fund",NA,"UNITED PEACE ORGANIZATION","UNITED PEACE ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"CATHOLIC RELIEF SERVICES","CATHOLIC RELIEF SERVICES"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF HEALTH EAST DARFUR","STATE MINISTRY OF HEALTH EAST DARFUR"
"UNICEF","United Nations Children's Fund",NA,"PEACE ORGANIZATION FOR RURAL DEVELOPMENT","PEACE ORGANIZATION FOR RURAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF HEALTH AND SOCIAL DEVELOPMENT WEST KORDOFAN","MINISTRY OF HEALTH AND SOCIAL DEVELOPMENT WEST KORDOFAN"
"UNICEF","United Nations Children's Fund",NA,"NMOH DIRECTORATE GENERAL OF BASIC HEALTH CARE","NMOH DIRECTORATE GENERAL OF BASIC HEALTH CARE"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF HEALTH BLUE NILE","DG STATE MINISTRY OF HEALTH BLUE NILE"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF HEALTH RED SEA","DG STATE MINISTRY OF HEALTH RED SEA"
"UNICEF","United Nations Children's Fund",NA,"D G STATE MINISTRY OF HEALTH KASSALA","D G STATE MINISTRY OF HEALTH KASSALA"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF HEALTH NORTH KORDOFAN","STATE MINISTRY OF HEALTH NORTH KORDOFAN"
"UNICEF","United Nations Children's Fund",NA,"ALJUZUR ORGANIZATION FOR PEACE AND REHABILITATION AND DEVELOPMENT","ALJUZUR ORGANIZATION FOR PEACE AND REHABILITATION AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"AUTASH ASSOCIATION FOR PEACE AND DEVELOPMENT","AUTASH ASSOCIATION FOR PEACE AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"DG, STATE MINISTRY OF HEALTH, NORTH DARFUR-NUTRITION","DG, STATE MINISTRY OF HEALTH, NORTH DARFUR-NUTRITION"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF HEALTH WHITE NILE","STATE MINISTRY OF HEALTH WHITE NILE"
"UNICEF","United Nations Children's Fund",NA,"PATIENTS HELPING FUND","PATIENTS HELPING FUND"
"UNICEF","United Nations Children's Fund",NA,"WORLD RELIEF KHARTOUM SUDAN","WORLD RELIEF KHARTOUM SUDAN"
"UNICEF","United Nations Children's Fund",NA,"BUILDING RESILIENCE DEVELOPMENT ORGANIZATION","BUILDING RESILIENCE DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"WAAD ORGANIZATION FOR DEVELOPMENT","WAAD ORGANIZATION FOR DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"ADDITION FOR DISASTER ASSISTANCE AND DEVELOPMENT","ADDITION FOR DISASTER ASSISTANCE AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"INTERNATIONAL MEDICAL CORPS UK","INTERNATIONAL MEDICAL CORPS UK"
"UNICEF","United Nations Children's Fund",NA,"SAEKER VOLUNTARY ORGANIZATION","SAEKER VOLUNTARY ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"ENVIRONMENTAL SANITATION AND HYGIENE PROJECT ESHP BLUE NILE","ENVIRONMENTAL SANITATION AND HYGIENE PROJECT ESHP BLUE NILE"
"UNICEF","United Nations Children's Fund",NA,"GEZIRA STATE MINISTRY OF HEALTH","GEZIRA STATE MINISTRY OF HEALTH"
"UNICEF","United Nations Children's Fund",NA,"PLAN INTERNATIONAL SUDAN","PLAN INTERNATIONAL SUDAN"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF HEALTH SOUTH DARFUR SMOH SD","DG STATE MINISTRY OF HEALTH SOUTH DARFUR SMOH SD"
"UNICEF","United Nations Children's Fund",NA,"BLUE NILE RADIO AND TELEVISION CORP","BLUE NILE RADIO AND TELEVISION CORP"
"UNICEF","United Nations Children's Fund",NA,"FUNDACION ACCION CONTRA EL HAMBRE SUDAN","FUNDACION ACCION CONTRA EL HAMBRE SUDAN"
"UNICEF","United Nations Children's Fund",NA,"CAFA DEVELOPMENT ORGANIZATION","CAFA DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"MIN OF HEALTH WEST DARFUR STATE","MIN OF HEALTH WEST DARFUR STATE"
"UNICEF","United Nations Children's Fund",NA,"NATIONAL INITIATIVE FOR DEVELOPMENT ORGANIZATION","NATIONAL INITIATIVE FOR DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"WHITE NILE RADIO CORPORATION","WHITE NILE RADIO CORPORATION"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR GENERAL SMOE EAST DARFUR","DIRECTOR GENERAL SMOE EAST DARFUR"
"UNICEF","United Nations Children's Fund",NA,"SUDANESE COALITION FOR EDUCATION FOR ALL SCEFA","SUDANESE COALITION FOR EDUCATION FOR ALL SCEFA"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION WEST DARFUR STATE","MINISTRY OF EDUCATION WEST DARFUR STATE"
"UNICEF","United Nations Children's Fund",NA,"ALNAHDA ORGANIZATION FOR PEACE AND DEVELOPMENT","ALNAHDA ORGANIZATION FOR PEACE AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"JASMAR HUMAN SECURITY ORGANIZATION","JASMAR HUMAN SECURITY ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"SADAGAAT CHARITY ORGANIZATION","SADAGAAT CHARITY ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"TRUST REHABILITATION AND DEVELOPMENT ORGANIZATION","TRUST REHABILITATION AND DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"PEACE CODE SUDAN","PEACE CODE SUDAN"
"UNICEF","United Nations Children's Fund",NA,"JAPAN INTERNATIONAL VOLUNTEER CENTER","JAPAN INTERNATIONAL VOLUNTEER CENTER"
"UNICEF","United Nations Children's Fund",NA,"ALSOLH KHAIR ORGANIZATION FOR DEVELOPMENT","ALSOLH KHAIR ORGANIZATION FOR DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"UNDERSECRETARY FEDERAL MINISTRY OF GENERAL EDUCATION","UNDERSECRETARY FEDERAL MINISTRY OF GENERAL EDUCATION"
"UNICEF","United Nations Children's Fund",NA,"CHILD DEVELOPMENT FOUNDATION KHARTOUM","CHILD DEVELOPMENT FOUNDATION KHARTOUM"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF EDUCATION GEDARIF STATE","DG STATE MINISTRY OF EDUCATION GEDARIF STATE"
"UNICEF","United Nations Children's Fund",NA,"RURAL DEVELOPMENT ORGANIZATION","RURAL DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"JEDIAN YOUTH ORGANIZATION FOR PEACE AND DEVELOPMENT","JEDIAN YOUTH ORGANIZATION FOR PEACE AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"DEPTH ACTION ORGANIZATION","DEPTH ACTION ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"JABAL MARRA CHARITY ORGANIZATION FOR RURAL DEVELOPMENT JMCO","JABAL MARRA CHARITY ORGANIZATION FOR RURAL DEVELOPMENT JMCO"
"UNICEF","United Nations Children's Fund",NA,"LM INTERNATIONAL LAKARMISSIONEN","LM INTERNATIONAL LAKARMISSIONEN"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF EDUCATION NK STAT","STATE MINISTRY OF EDUCATION NK STAT"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF EDUCATION KHARTOUM STATE","DG STATE MINISTRY OF EDUCATION KHARTOUM STATE"
"UNICEF","United Nations Children's Fund",NA,"DG SMOE WHITE NILE STATE STATE MINISTRY OF EDUCATION WN","DG SMOE WHITE NILE STATE STATE MINISTRY OF EDUCATION WN"
"UNICEF","United Nations Children's Fund",NA,"PEACE LIGHTS FOR RURAL DEVELOPMENTS ORGANIZATION","PEACE LIGHTS FOR RURAL DEVELOPMENTS ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"MINISTRY OF EDUCATION ORGANIZATION BLUE NILE","MINISTRY OF EDUCATION ORGANIZATION BLUE NILE"
"UNICEF","United Nations Children's Fund",NA,"WINDLE TRUST INTERNATIONAL","WINDLE TRUST INTERNATIONAL"
"UNICEF","United Nations Children's Fund",NA,"GREEN DREAM ORGANIZATION","GREEN DREAM ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF EDUCATION SOUTH KORDOF","STATE MINISTRY OF EDUCATION SOUTH KORDOF"
"UNICEF","United Nations Children's Fund",NA,"D GENERAL MOE NORTH DARFUR ELFASHER","D GENERAL MOE NORTH DARFUR ELFASHER"
"UNICEF","United Nations Children's Fund",NA,"GLOBAL AID HAND","GLOBAL AID HAND"
"UNICEF","United Nations Children's Fund",NA,"SUDANESE DEVELOPMENT CALL ORGANIZATION NIDAA","SUDANESE DEVELOPMENT CALL ORGANIZATION NIDAA"
"UNICEF","United Nations Children's Fund",NA,"WAR CHILD CANADA","WAR CHILD CANADA"
"UNICEF","United Nations Children's Fund",NA,"DIRECTOR GENERAL MOE SOUTH DARFUR","DIRECTOR GENERAL MOE SOUTH DARFUR"
"UNICEF","United Nations Children's Fund",NA,"STATE MINISTRY OF EDUCATION KASSALA","STATE MINISTRY OF EDUCATION KASSALA"
"UNICEF","United Nations Children's Fund",NA,"DG STATE MINISTRY OF EDUCATION RED SEA DG SMOE RED SEA STATE","DG STATE MINISTRY OF EDUCATION RED SEA DG SMOE RED SEA STATE"
"UNICEF","United Nations Children's Fund",NA,"HOPE AND FRIENDSHIP FOR DEVELOPMENT ORGANIZATION","HOPE AND FRIENDSHIP FOR DEVELOPMENT ORGANIZATION"
"UNICEF","United Nations Children's Fund",NA,"CSO IN TOUCH UKRAINE FOUNDATION","CSO IN TOUCH UKRAINE FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"INSCIENCE","INSCIENCE"
"UNICEF","United Nations Children's Fund",NA,"UKRAINIAN CATHOLIC UNIVERSITY","UKRAINIAN CATHOLIC UNIVERSITY"
"UNICEF","United Nations Children's Fund",NA,"IF FOR HEALTH AND ENVIRONMENT PROTECTION CARPATHIAN REGION","IF FOR HEALTH AND ENVIRONMENT PROTECTION CARPATHIAN REGION"
"UNICEF","United Nations Children's Fund",NA,"ALL UKRAINIAN PUBLIC ORGANIZATION ASSOC OF PRESCHOOL EDUCATION WORKERS","ALL UKRAINIAN PUBLIC ORGANIZATION ASSOC OF PRESCHOOL EDUCATION WORKERS"
"UNICEF","United Nations Children's Fund",NA,"LVIV THE EUROPEAN YOUTH CAPITAL YOUTH NGO","LVIV THE EUROPEAN YOUTH CAPITAL YOUTH NGO"
"UNICEF","United Nations Children's Fund",NA,"PLATFORMA INITSIATYV TEPLYTSIA","PLATFORMA INITSIATYV TEPLYTSIA"
"UNICEF","United Nations Children's Fund",NA,"NON GOVERNMENT ORGANIZATION EDNANNIA JOINING FORCES INITIATIVE CENTRE TO","NON GOVERNMENT ORGANIZATION EDNANNIA JOINING FORCES INITIATIVE CENTRE TO"
"UNICEF","United Nations Children's Fund",NA,"TECH STARTUP SCHOOL NGO","TECH STARTUP SCHOOL NGO"
"UNICEF","United Nations Children's Fund",NA,"VILNOSVITA","VILNOSVITA"
"UNICEF","United Nations Children's Fund",NA,"NGO POTRIBNI TUT NGO WANTED HERE","NGO POTRIBNI TUT NGO WANTED HERE"
"UNICEF","United Nations Children's Fund",NA,"WINDS OF CHANGE CHARITY FUND","WINDS OF CHANGE CHARITY FUND"
"UNICEF","United Nations Children's Fund",NA,"UKRAINIAN PROFESSIONAL DEVELOPMENT","UKRAINIAN PROFESSIONAL DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"CHARITY ORGANIZATION CHARITABLE FOUNDATION ANGELS OF SALVATION","CHARITY ORGANIZATION CHARITABLE FOUNDATION ANGELS OF SALVATION"
"UNICEF","United Nations Children's Fund",NA,"CULTURAL LEAGUE OF THE EAST","CULTURAL LEAGUE OF THE EAST"
"UNICEF","United Nations Children's Fund",NA,"DUIT","DUIT"
"UNICEF","United Nations Children's Fund",NA,"POSMISHKA UA CHARITY FUND","POSMISHKA UA CHARITY FUND"
"UNICEF","United Nations Children's Fund",NA,"NGO FISHERMEN CLUB OF UKRAINE FCU","NGO FISHERMEN CLUB OF UKRAINE FCU"
"UNICEF","United Nations Children's Fund",NA,"SPIVDIIA CO CF","SPIVDIIA CO CF"
"UNICEF","United Nations Children's Fund",NA,"CIVIL SOCIETY ORGANIZATION RESPONSIBLE CITIZENS","CIVIL SOCIETY ORGANIZATION RESPONSIBLE CITIZENS"
"UNICEF","United Nations Children's Fund",NA,"CHARITABLE ORGANIZATION UKRAINIAN EDUCATION PLATFORM","CHARITABLE ORGANIZATION UKRAINIAN EDUCATION PLATFORM"
"UNICEF","United Nations Children's Fund",NA,"ICF CHARITABLE ORGANIZATION INTERNATIONAL CHARITABLE FUND SAVED","ICF CHARITABLE ORGANIZATION INTERNATIONAL CHARITABLE FUND SAVED"
"UNICEF","United Nations Children's Fund",NA,"PUBLIC ORGANIZATION NOVA UNITED","PUBLIC ORGANIZATION NOVA UNITED"
"UNICEF","United Nations Children's Fund",NA,"NGO ZAHODY","NGO ZAHODY"
"UNICEF","United Nations Children's Fund",NA,"CHARITABLE ORGANIZATION LIGHT OF HOPE","CHARITABLE ORGANIZATION LIGHT OF HOPE"
"UNICEF","United Nations Children's Fund",NA,"NGO OSVITORIA","NGO OSVITORIA"
"UNICEF","United Nations Children's Fund",NA,"NGO TEACH FOR UKRAINE","NGO TEACH FOR UKRAINE"
"UNICEF","United Nations Children's Fund",NA,"CSO RESPONSE AND DEVELOPMENT","CSO RESPONSE AND DEVELOPMENT"
"UNICEF","United Nations Children's Fund",NA,"GO GLOBAL NGO","GO GLOBAL NGO"
"UNICEF","United Nations Children's Fund",NA,"INSTITUTE OF CREATIVE INNOVATIONS","INSTITUTE OF CREATIVE INNOVATIONS"
"UNICEF","United Nations Children's Fund",NA,"UKRAINIAN VOLUNTEER SERVICE","UKRAINIAN VOLUNTEER SERVICE"
"UNICEF","United Nations Children's Fund",NA,"GIRLS","GIRLS"
"UNICEF","United Nations Children's Fund",NA,"NGO YOUTHUP","NGO YOUTHUP"
"UNICEF","United Nations Children's Fund",NA,"ZADZERKALLYA SLOVYANSK CULTURAL CENTER","ZADZERKALLYA SLOVYANSK CULTURAL CENTER"
"UNICEF","United Nations Children's Fund",NA,"¿F DOBRODIY CLUB","¿F DOBRODIY CLUB"
"UNICEF","United Nations Children's Fund",NA,"NGO INITIATIVE YOUTH LABORATORY","NGO INITIATIVE YOUTH LABORATORY"
"UNICEF","United Nations Children's Fund",NA,"YOUTH OF THE ZMIYV REGION","YOUTH OF THE ZMIYV REGION"
"UNICEF","United Nations Children's Fund",NA,"NGO YOUTH ORGANIZATION SYLNO","NGO YOUTH ORGANIZATION SYLNO"
"UNICEF","United Nations Children's Fund",NA,"LA STRADA UKRAINE","LA STRADA UKRAINE"
"UNICEF","United Nations Children's Fund",NA,"NGO MOLODVIZH","NGO MOLODVIZH"
"UNICEF","United Nations Children's Fund",NA,"DZHERELO EDUCATIONAL AND REHABILITATION CENTER","DZHERELO EDUCATIONAL AND REHABILITATION CENTER"
"UNICEF","United Nations Children's Fund",NA,"UKRAINIAN STEP BY STEP FOUNDATION","UKRAINIAN STEP BY STEP FOUNDATION"
"UNICEF","United Nations Children's Fund",NA,"MUNICIPAL ENTERPRISE IRPINZHITLOINVESTBUD","MUNICIPAL ENTERPRISE IRPINZHITLOINVESTBUD"
"UNICEF","United Nations Children's Fund",NA,"GO SUKHARI","GO SUKHARI"
"UNICEF","United Nations Children's Fund",NA,"NGO DONETSK REGIONAL ORGANIZATION OF ALL UKRAINIAN ORGANIZATION UNION","NGO DONETSK REGIONAL ORGANIZATION OF ALL UKRAINIAN ORGANIZATION UNION"
"UNICEF","United Nations Children's Fund",NA,"CARITAS UKRAINE ICF","CARITAS UKRAINE ICF"
"UNICEF","United Nations Children's Fund",NA,"CSO UKRAINIAN FEDERATION SPORT FOR DEVELOPMENT","CSO UKRAINIAN FEDERATION SPORT FOR DEVELOPMENT"
"African Development Foundation","United States of America, Government of",NA,"AMTIS Skills Place Limited","AMTIS Skills Place Limited"
"African Development Foundation","United States of America, Government of",NA,"Jenniez School of African Interior Design","Jenniez School of African Interior Design"
"African Development Foundation","United States of America, Government of",NA,"",""
"African Development Foundation","United States of America, Government of",NA,"Derwin Productions Enterprises","Derwin Productions Enterprises"
"African Development Foundation","United States of America, Government of",NA,"Field of Skills and Dreams VTE Academy","Field of Skills and Dreams VTE Academy"
"African Development Foundation","United States of America, Government of",NA,"Leapworld Ltd.","Leapworld Ltd."
"African Development Foundation","United States of America, Government of",NA,"Jimreid Consulting","Jimreid Consulting"
"African Development Foundation","United States of America, Government of",NA,"Autogig International Resources Limited","Autogig International Resources Limited"
"African Development Foundation","United States of America, Government of",NA,"Imperial Educational Services Limited","Imperial Educational Services Limited"
"African Development Foundation","United States of America, Government of",NA,"Regi School of Fashion","Regi School of Fashion"
"African Development Foundation","United States of America, Government of",NA,"8thGear Partners Ltd.","8thGear Partners Ltd."
"African Development Foundation","United States of America, Government of",NA,"Nerdzfactory Company","Nerdzfactory Company"
"African Development Foundation","United States of America, Government of",NA,"Hospitality Institute Limited","Hospitality Institute Limited"
"African Development Foundation","United States of America, Government of",NA,"Tuteria Limited","Tuteria Limited"
"African Development Foundation","United States of America, Government of",NA,"Preventive Health Managers Limited","Preventive Health Managers Limited"
"African Development Foundation","United States of America, Government of",NA,"One Stop Celebration College of Fashion","One Stop Celebration College of Fashion"
"African Development Foundation","United States of America, Government of",NA,"Afterschool Graduate Development Limited","Afterschool Graduate Development Limited"
"African Development Foundation","United States of America, Government of",NA,"AGDC Employability & Enterprise Ltd/GTE","AGDC Employability & Enterprise Ltd/GTE"
"African Development Foundation","United States of America, Government of",NA,"Accord for Development (Nigeria)","Accord for Development (Nigeria)"
"African Development Foundation","United States of America, Government of",NA,"CVL Limited By Guarantee","CVL Limited By Guarantee"
"African Development Foundation","United States of America, Government of",NA,"COOPERHOUSE HOSPITALITY LTD","COOPERHOUSE HOSPITALITY LTD"
"African Development Foundation","United States of America, Government of",NA,"Mercdees Ventures","Mercdees Ventures"
"African Development Foundation","United States of America, Government of",NA,"Midramo Consulting","Midramo Consulting"
"African Development Foundation","United States of America, Government of",NA,"Go! Twentysix","Go! Twentysix"
"African Development Foundation","United States of America, Government of",NA,"Dokadots Clothing Limited","Dokadots Clothing Limited"
"African Development Foundation","United States of America, Government of",NA,"Wapa Apparel","Wapa Apparel"
"African Development Foundation","United States of America, Government of",NA,"London Professional Training Centre Nigeria","London Professional Training Centre Nigeria"
"African Development Foundation","United States of America, Government of",NA,"Intermarc Nigeria Limited","Intermarc Nigeria Limited"
"African Development Foundation","United States of America, Government of",NA,"Oriki Global & Synergy Limited","Oriki Global & Synergy Limited"
"African Development Foundation","United States of America, Government of",NA,"Honeytreat Trade Academy","Honeytreat Trade Academy"
"African Development Foundation","United States of America, Government of",NA,"DR Therapy Beauty Clinic & Spa Ltd","DR Therapy Beauty Clinic & Spa Ltd"
"African Development Foundation","United States of America, Government of",NA,"Nightingales Caregivers Academy","Nightingales Caregivers Academy"
"African Development Foundation","United States of America, Government of",NA,"Ambient Interactive Multimedia Limited","Ambient Interactive Multimedia Limited"
"African Development Foundation","United States of America, Government of",NA,"Institute for Practical Research and Training","Institute for Practical Research and Training"
"African Development Foundation","United States of America, Government of",NA,"Academy for Development and Advocacy of Minorities","Academy for Development and Advocacy of Minorities"
"African Development Foundation","United States of America, Government of",NA,"Haldoor Technical and Vocational Centre","Haldoor Technical and Vocational Centre"
"African Development Foundation","United States of America, Government of",NA,"Youth Volunteers For Development and Environment Conservation","Youth Volunteers For Development and Environment Conservation"
